population_count: 15
population_size: 15
node_cap: 100
generations: 50
target_accuracy: 95.0%
random_seed: 10
Population: 0  Node Count: 41
4.486527277303943e-08 4.486527277303943e-08
Generation # 0  Max Fitness: 0.0002636293454123101
New Best Fitness
Generation # 1  Max Fitness: 0.0008384326716520996
New Best Fitness
Generation # 2  Max Fitness: 0.0008384326716520996
Generation # 3  Max Fitness: 0.0008384326716520996
Generation # 4  Max Fitness: 0.0008384326716520996
Generation # 5  Max Fitness: 0.0008384326716520996
Generation # 6  Max Fitness: 0.0005692097470648492
Generation # 7  Max Fitness: 0.0005696857814386952
Generation # 8  Max Fitness: 0.0005696857814386952
Generation # 9  Max Fitness: 0.0005696857814386952
Generation # 10  Max Fitness: 0.0005696857814386952
Generation # 11  Max Fitness: 0.0005696857814386952
Generation # 12  Max Fitness: 0.0005696857814386952
Generation # 13  Max Fitness: 0.0006095025296037653
Generation # 14  Max Fitness: 0.0007041457795422381
Generation # 15  Max Fitness: 0.0007041457795422381
Generation # 16  Max Fitness: 0.0007041457795422381
Generation # 17  Max Fitness: 0.0007041457795422381
Generation # 18  Max Fitness: 0.0009607412754771216
New Best Fitness
Generation # 19  Max Fitness: 0.0009607412754771216
Generation # 20  Max Fitness: 0.0009607412754771216
Generation # 21  Max Fitness: 0.0009607412754771216
Generation # 22  Max Fitness: 0.0009607412754771216
Generation # 23  Max Fitness: 0.0009607412754771216
Generation # 24  Max Fitness: 0.0009643082773804505
New Best Fitness
Generation # 25  Max Fitness: 0.0009643082773804505
Generation # 26  Max Fitness: 0.0009643082773804505
Generation # 27  Max Fitness: 0.0009643082773804505
Generation # 28  Max Fitness: 0.0009643082773804505
Generation # 29  Max Fitness: 0.0009643082773804505
Generation # 30  Max Fitness: 0.0009643082773804505
Generation # 31  Max Fitness: 0.0009643082773804505
Generation # 32  Max Fitness: 0.0009643082773804505
Generation # 33  Max Fitness: 0.0009643082773804505
Generation # 34  Max Fitness: 0.0009643082773804505
Generation # 35  Max Fitness: 0.0009643082773804505
Generation # 36  Max Fitness: 0.0009643082773804505
Generation # 37  Max Fitness: 0.0009643082773804505
Generation # 38  Max Fitness: 0.0009643082773804505
Generation # 39  Max Fitness: 0.0009643082773804505
Generation # 40  Max Fitness: 0.0009607412754771216
Generation # 41  Max Fitness: 0.001313072320728275
New Best Fitness
Generation # 42  Max Fitness: 0.001313072320728275
Generation # 43  Max Fitness: 0.001313072320728275
Generation # 44  Max Fitness: 0.001905556172764204
New Best Fitness
Generation # 45  Max Fitness: 0.001905556172764204
Generation # 46  Max Fitness: 0.001905556172764204
Generation # 47  Max Fitness: 0.001905556172764204
Generation # 48  Max Fitness: 0.001905556172764204
Generation # 49  Max Fitness: 0.001905556172764204
Accuracy:  94.0 %
Replaced  0.0  with  0.001905556172764204
37 <= node_count < 100
Population: 1  Node Count: 66
5.140247116623537e-11 5.140247116623537e-11
Generation # 0  Max Fitness: 3.3203976695496405e-05
New Best Fitness
Generation # 1  Max Fitness: 3.3203976695496405e-05
Generation # 2  Max Fitness: 4.2599748233534156e-05
New Best Fitness
