population_count: 15
population_size: 15
node_cap: 100
generations: 50
target_accuracy: 97.0%
random_seed: 0
Population: 0  Node Count: 76
1.0503842089387526e-14 1.0503842089387526e-14
Generation # 0  Max Fitness: 5.3776012748411005e-05
New Best Fitness
Generation # 1  Max Fitness: 0.00020258963422482666
New Best Fitness
Generation # 2  Max Fitness: 0.00020258963422482666
Generation # 3  Max Fitness: 0.00020258963422482666
Generation # 4  Max Fitness: 0.00020258963422482666
Generation # 5  Max Fitness: 0.00020258963422482666
Generation # 6  Max Fitness: 0.00020823229250063044
New Best Fitness
Generation # 7  Max Fitness: 0.00020823229250063044
Generation # 8  Max Fitness: 0.00020823229250063044
Generation # 9  Max Fitness: 0.000253025324628697
New Best Fitness
Generation # 10  Max Fitness: 0.000253025324628697
Generation # 11  Max Fitness: 0.000253025324628697
Generation # 12  Max Fitness: 0.000253025324628697
Generation # 13  Max Fitness: 0.0002576510161209949
New Best Fitness
Generation # 14  Max Fitness: 0.0002576510161209949
Generation # 15  Max Fitness: 0.0002576510161209949
Generation # 16  Max Fitness: 0.0002576510161209949
Generation # 17  Max Fitness: 0.00032100075007368653
New Best Fitness
Generation # 18  Max Fitness: 0.0004482834459442973
New Best Fitness
Generation # 19  Max Fitness: 0.00047786091041897256
New Best Fitness
Generation # 20  Max Fitness: 0.00047786091041897256
Generation # 21  Max Fitness: 0.00047786091041897256
Generation # 22  Max Fitness: 0.00047786091041897256
Generation # 23  Max Fitness: 0.00047786091041897256
Generation # 24  Max Fitness: 0.00047786091041897256
Generation # 25  Max Fitness: 0.00047786091041897256
Generation # 26  Max Fitness: 0.00047786091041897256
Generation # 27  Max Fitness: 0.00047786091041897256
Generation # 28  Max Fitness: 0.00047786091041897256
Generation # 29  Max Fitness: 0.00047786091041897256
Generation # 30  Max Fitness: 0.00047786091041897256
Generation # 31  Max Fitness: 0.00047786091041897256
Generation # 32  Max Fitness: 0.00047786091041897256
Generation # 33  Max Fitness: 0.00047786091041897256
Generation # 34  Max Fitness: 0.00047786091041897256
Generation # 35  Max Fitness: 0.00047786091041897256
Generation # 36  Max Fitness: 0.00048587534916813774
New Best Fitness
Generation # 37  Max Fitness: 0.0004891364032823199
New Best Fitness
Generation # 38  Max Fitness: 0.0004891364032823199
Generation # 39  Max Fitness: 0.00048587534916813774
Generation # 40  Max Fitness: 0.00048587534916813774
Generation # 41  Max Fitness: 0.00048689609570000354
Generation # 42  Max Fitness: 0.00048587534916813774
Generation # 43  Max Fitness: 0.00048587534916813774
Generation # 44  Max Fitness: 0.00048587534916813774
Generation # 45  Max Fitness: 0.00048587534916813774
Generation # 46  Max Fitness: 0.0004720214695584556
Generation # 47  Max Fitness: 0.0004720214695584556
Generation # 48  Max Fitness: 0.0004720214695584556
Generation # 49  Max Fitness: 0.0004720214695584556
Accuracy:  99.0 %
Replaced  0.0  with  0.0004891364032823199
32 <= node_count < 76
Population: 1  Node Count: 68
2.4331843992052613e-13 2.4331843992052613e-13
Generation # 0  Max Fitness: 1.4258247042691948e-05
New Best Fitness
Generation # 1  Max Fitness: 1.4258247042691948e-05
Generation # 2  Max Fitness: 5.5615183506836715e-05
