population_count: 15
poplation_size: 15
node_cap: 100
generations: 50
target_accuracy: 97.0%
random_seed: 321
Population: 0  Node Count: 58
6.175889959228673e-13 6.175889959228673e-13
Generation # 0  Max Fitness: 3.365410505791125e-05
New Best Fitness
Generation # 1  Max Fitness: 3.365410505791125e-05
Generation # 2  Max Fitness: 3.365410505791125e-05
Generation # 3  Max Fitness: 3.365410505791125e-05
Generation # 4  Max Fitness: 8.413320527065108e-05
New Best Fitness
Generation # 5  Max Fitness: 8.413320527065108e-05
Generation # 6  Max Fitness: 0.00012825584369967216
New Best Fitness
Generation # 7  Max Fitness: 0.00012825584369967216
Generation # 8  Max Fitness: 0.00012825584369967216
Generation # 9  Max Fitness: 0.00012825584369967216
Generation # 10  Max Fitness: 0.00012825584369967216
Generation # 11  Max Fitness: 0.000254278109547098
New Best Fitness
Generation # 12  Max Fitness: 0.000254278109547098
Generation # 13  Max Fitness: 0.000254278109547098
Generation # 14  Max Fitness: 0.000254278109547098
Generation # 15  Max Fitness: 0.0005730414064784371
New Best Fitness
Generation # 16  Max Fitness: 0.0005730414064784371
Generation # 17  Max Fitness: 0.0005730414064784371
Generation # 18  Max Fitness: 0.0005730414064784371
Generation # 19  Max Fitness: 0.0005730414064784371
Generation # 20  Max Fitness: 0.0005730414064784371
Generation # 21  Max Fitness: 0.0005730414064784371
Generation # 22  Max Fitness: 0.0005573272911271088
Generation # 23  Max Fitness: 0.000943832904788014
New Best Fitness
Generation # 24  Max Fitness: 0.000943832904788014
Generation # 25  Max Fitness: 0.000943832904788014
Generation # 26  Max Fitness: 0.000943832904788014
Generation # 27  Max Fitness: 0.0009409198402670633
Generation # 28  Max Fitness: 0.0009409198402670633
Generation # 29  Max Fitness: 0.0025027001817047516
New Best Fitness
Generation # 30  Max Fitness: 0.0025027001817047516
Generation # 31  Max Fitness: 0.0025027001817047516
Generation # 32  Max Fitness: 0.0025027001817047516
Generation # 33  Max Fitness: 0.0025027001817047516
Generation # 34  Max Fitness: 0.0025027001817047516
Generation # 35  Max Fitness: 0.0025027001817047516
Generation # 36  Max Fitness: 0.0025027001817047516
Generation # 37  Max Fitness: 0.001129103808320476
Generation # 38  Max Fitness: 0.001129103808320476
Generation # 39  Max Fitness: 0.0011249373736034263
Generation # 40  Max Fitness: 0.0011249373736034263
Generation # 41  Max Fitness: 0.0011249373736034263
Generation # 42  Max Fitness: 0.0011249373736034263
Generation # 43  Max Fitness: 0.0016782152419269165
Generation # 44  Max Fitness: 0.0016782152419269165
Generation # 45  Max Fitness: 0.0016782152419269165
Generation # 46  Max Fitness: 0.002493465125683701
Generation # 47  Max Fitness: 0.002493465125683701
Generation # 48  Max Fitness: 0.002493465125683701
Generation # 49  Max Fitness: 0.002493465125683701
Accuracy:  99.0 %
Replaced  0.0  with  0.0025027001817047516
32 <= node_count < 58
Population: 1  Node Count: 39
7.302405796995748e-10 7.302405796995748e-10
Generation # 0  Max Fitness: 0.0010418846659893423
New Best Fitness
Generation # 1  Max Fitness: 0.0010418846659893423
Generation # 2  Max Fitness: 0.0014033263415687317
New Best Fitness
Generation # 3  Max Fitness: 0.0014033263415687317
Generation # 4  Max Fitness: 0.0019147079745132694
New Best Fitness
Generation # 5  Max Fitness: 0.0019147079745132694
Generation # 6  Max Fitness: 0.0014087234598509257
Generation # 7  Max Fitness: 0.0014087234598509257
Generation # 8  Max Fitness: 0.0014087234598509257
Generation # 9  Max Fitness: 0.0014087234598509257
Generation # 10  Max Fitness: 0.003198946278339413
New Best Fitness
Generation # 11  Max Fitness: 0.003198946278339413
Generation # 12  Max Fitness: 0.003198946278339413
Generation # 13  Max Fitness: 0.003198946278339413
Generation # 14  Max Fitness: 0.003198946278339413
Generation # 15  Max Fitness: 0.003198946278339413
Generation # 16  Max Fitness: 0.003198946278339413
Generation # 17  Max Fitness: 0.003198946278339413
Generation # 18  Max Fitness: 0.003198946278339413
Generation # 19  Max Fitness: 0.003198946278339413
Generation # 20  Max Fitness: 0.003198946278339413
Generation # 21  Max Fitness: 0.003198946278339413
Generation # 22  Max Fitness: 0.003198946278339413
Generation # 23  Max Fitness: 0.003198946278339413
Generation # 24  Max Fitness: 0.003198946278339413
Generation # 25  Max Fitness: 0.003198946278339413
Generation # 26  Max Fitness: 0.003198946278339413
Generation # 27  Max Fitness: 0.003198946278339413
Generation # 28  Max Fitness: 0.003198946278339413
Generation # 29  Max Fitness: 0.003198946278339413
Generation # 30  Max Fitness: 0.003198946278339413
Generation # 31  Max Fitness: 0.003198946278339413
Generation # 32  Max Fitness: 0.003198946278339413
Generation # 33  Max Fitness: 0.003198946278339413
Generation # 34  Max Fitness: 0.003198946278339413
Generation # 35  Max Fitness: 0.003198946278339413
Generation # 36  Max Fitness: 0.003198946278339413
Generation # 37  Max Fitness: 0.003333033846892562
New Best Fitness
Generation # 38  Max Fitness: 0.003333033846892562
Generation # 39  Max Fitness: 0.003333033846892562
Generation # 40  Max Fitness: 0.003333033846892562
Generation # 41  Max Fitness: 0.003333033846892562
Generation # 42  Max Fitness: 0.003333033846892562
Generation # 43  Max Fitness: 0.003333033846892562
Generation # 44  Max Fitness: 0.0034011301299850206
New Best Fitness
Generation # 45  Max Fitness: 0.0034011301299850206
Generation # 46  Max Fitness: 0.0034011301299850206
Generation # 47  Max Fitness: 0.0034011301299850206
Generation # 48  Max Fitness: 0.0034011301299850206
Generation # 49  Max Fitness: 0.0034011301299850206
Accuracy:  96.0 %
36 <= node_count < 58
Population: 2  Node Count: 49
5.5600078768568676e-11 5.5600078768568676e-11
Generation # 0  Max Fitness: 2.8333021762548918e-05
New Best Fitness
Generation # 1  Max Fitness: 4.451617736747837e-05
New Best Fitness
Generation # 2  Max Fitness: 4.451617736747837e-05
Generation # 3  Max Fitness: 9.557676613185359e-05
New Best Fitness
Generation # 4  Max Fitness: 0.0005429335860987493
New Best Fitness
Generation # 5  Max Fitness: 0.0005429335860987493
Generation # 6  Max Fitness: 0.0005429335860987493
Generation # 7  Max Fitness: 0.0005429335860987493
Generation # 8  Max Fitness: 0.0008347390582197565
New Best Fitness
Generation # 9  Max Fitness: 0.0008347390582197565
Generation # 10  Max Fitness: 0.0009712478595766515
New Best Fitness
Generation # 11  Max Fitness: 0.0009712478595766515
Generation # 12  Max Fitness: 0.0009712478595766515
Generation # 13  Max Fitness: 0.0009712478595766515
Generation # 14  Max Fitness: 0.0009712478595766515
Generation # 15  Max Fitness: 0.0015502296795509762
New Best Fitness
Generation # 16  Max Fitness: 0.0015625384098684175
New Best Fitness
Generation # 17  Max Fitness: 0.0015625384098684175
Generation # 18  Max Fitness: 0.0015502296795509762
Generation # 19  Max Fitness: 0.0015502296795509762
Generation # 20  Max Fitness: 0.0015502296795509762
Generation # 21  Max Fitness: 0.0015502296795509762
Generation # 22  Max Fitness: 0.0015502296795509762
Generation # 23  Max Fitness: 0.0015502296795509762
Generation # 24  Max Fitness: 0.0015502296795509762
Generation # 25  Max Fitness: 0.0015502296795509762
Generation # 26  Max Fitness: 0.0015502296795509762
Generation # 27  Max Fitness: 0.0015502296795509762
Generation # 28  Max Fitness: 0.0020127982129653807
New Best Fitness
Generation # 29  Max Fitness: 0.0020127982129653807
Generation # 30  Max Fitness: 0.0020127982129653807
Generation # 31  Max Fitness: 0.0020127982129653807
Generation # 32  Max Fitness: 0.0020127982129653807
Generation # 33  Max Fitness: 0.0020127982129653807
Generation # 34  Max Fitness: 0.0020127982129653807
Generation # 35  Max Fitness: 0.0024424144076584
New Best Fitness
Generation # 36  Max Fitness: 0.0028629731817776984
New Best Fitness
Generation # 37  Max Fitness: 0.0028629731817776984
Generation # 38  Max Fitness: 0.0028629731817776984
Generation # 39  Max Fitness: 0.0028629731817776984
Generation # 40  Max Fitness: 0.0028629731817776984
Generation # 41  Max Fitness: 0.0028629731817776984
Generation # 42  Max Fitness: 0.0028629731817776984
Generation # 43  Max Fitness: 0.0028629731817776984
Generation # 44  Max Fitness: 0.0028629731817776984
Generation # 45  Max Fitness: 0.0028629731817776984
Generation # 46  Max Fitness: 0.0028629731817776984
Generation # 47  Max Fitness: 0.0028629731817776984
Generation # 48  Max Fitness: 0.0028629731817776984
Generation # 49  Max Fitness: 0.0028629731817776984
Accuracy:  97.0 %
Replaced  0.0025027001817047516  with  0.0028629731817776984
36 <= node_count < 49
Population: 3  Node Count: 38
5.084247777865559e-10 5.084247777865559e-10
Generation # 0  Max Fitness: 0.0004991798256327765
New Best Fitness
Generation # 1  Max Fitness: 0.0004991798256327765
Generation # 2  Max Fitness: 0.0004991798256327765
Generation # 3  Max Fitness: 0.0004991798256327765
Generation # 4  Max Fitness: 0.0004991798256327765
Generation # 5  Max Fitness: 0.0006300327896336015
New Best Fitness
Generation # 6  Max Fitness: 0.0006300327896336015
Generation # 7  Max Fitness: 0.0006503189747487963
New Best Fitness
Generation # 8  Max Fitness: 0.0007243390206551633
New Best Fitness
Generation # 9  Max Fitness: 0.0007243390206551633
Generation # 10  Max Fitness: 0.0007243390206551633
Generation # 11  Max Fitness: 0.0007243390206551633
Generation # 12  Max Fitness: 0.0015100627040777134
New Best Fitness
Generation # 13  Max Fitness: 0.0015100627040777134
Generation # 14  Max Fitness: 0.0015100627040777134
Generation # 15  Max Fitness: 0.0015100627040777134
Generation # 16  Max Fitness: 0.0015100627040777134
Generation # 17  Max Fitness: 0.0015100627040777134
Generation # 18  Max Fitness: 0.0015100627040777134
Generation # 19  Max Fitness: 0.0015100627040777134
Generation # 20  Max Fitness: 0.0015100627040777134
Generation # 21  Max Fitness: 0.0015100627040777134
Generation # 22  Max Fitness: 0.0015100627040777134
Generation # 23  Max Fitness: 0.0015100627040777134
Generation # 24  Max Fitness: 0.0015100627040777134
Generation # 25  Max Fitness: 0.0015100627040777134
Generation # 26  Max Fitness: 0.0014141857069934142
Generation # 27  Max Fitness: 0.0014141857069934142
Generation # 28  Max Fitness: 0.0014141857069934142
Generation # 29  Max Fitness: 0.0021386053670307556
New Best Fitness
Generation # 30  Max Fitness: 0.0021386053670307556
Generation # 31  Max Fitness: 0.0021386053670307556
Generation # 32  Max Fitness: 0.0021386053670307556
Generation # 33  Max Fitness: 0.0021386053670307556
Generation # 34  Max Fitness: 0.0021386053670307556
Generation # 35  Max Fitness: 0.0021386053670307556
Generation # 36  Max Fitness: 0.0021386053670307556
Generation # 37  Max Fitness: 0.0021386053670307556
Generation # 38  Max Fitness: 0.0021386053670307556
Generation # 39  Max Fitness: 0.0021386053670307556
Generation # 40  Max Fitness: 0.0021386053670307556
Generation # 41  Max Fitness: 0.0021386053670307556
Generation # 42  Max Fitness: 0.0021386053670307556
