population_count: 15
population_size: 15
node_cap: 500
generations: 50
target_accuracy: 95.0%
random_seed: 121
Population: 0  Node Count: 354
5.867662899521082e-110 5.867662899521082e-110
Generation # 0  Max Fitness: 3.61118411966584e-07
New Best Fitness
Generation # 1  Max Fitness: 3.61118411966584e-07
Generation # 2  Max Fitness: 1.1727552965160623e-06
New Best Fitness
Generation # 3  Max Fitness: 7.861017215627702e-05
New Best Fitness
Generation # 4  Max Fitness: 7.861017215627702e-05
Generation # 5  Max Fitness: 7.861017215627702e-05
Generation # 6  Max Fitness: 7.861017215627702e-05
Generation # 7  Max Fitness: 9.307520476545048e-05
New Best Fitness
Generation # 8  Max Fitness: 9.307520476545048e-05
Generation # 9  Max Fitness: 9.307520476545048e-05
Generation # 10  Max Fitness: 9.307520476545048e-05
Generation # 11  Max Fitness: 9.306654257794323e-05
Generation # 12  Max Fitness: 9.306654257794323e-05
Generation # 13  Max Fitness: 9.306654257794323e-05
Generation # 14  Max Fitness: 9.306654257794323e-05
Generation # 15  Max Fitness: 9.306654257794323e-05
Generation # 16  Max Fitness: 8.602150537634408e-05
Generation # 17  Max Fitness: 8.602150537634408e-05
Generation # 18  Max Fitness: 8.602150537634408e-05
Generation # 19  Max Fitness: 8.602150537634408e-05
Generation # 20  Max Fitness: 8.602150537634408e-05
Generation # 21  Max Fitness: 8.602150537634408e-05
Generation # 22  Max Fitness: 8.602150537634408e-05
Generation # 23  Max Fitness: 8.602150537634408e-05
Generation # 24  Max Fitness: 8.602150537634408e-05
Generation # 25  Max Fitness: 8.602150537634408e-05
Generation # 26  Max Fitness: 8.602150537634408e-05
Generation # 27  Max Fitness: 8.602150537634408e-05
Generation # 28  Max Fitness: 8.602150537634408e-05
Generation # 29  Max Fitness: 8.602150537634408e-05
Generation # 30  Max Fitness: 8.602150537634408e-05
Generation # 31  Max Fitness: 9.013068949977468e-05
Generation # 32  Max Fitness: 9.013068949977468e-05
Generation # 33  Max Fitness: 9.013068949977468e-05
Generation # 34  Max Fitness: 9.013068949977468e-05
Generation # 35  Max Fitness: 9.0711175616836e-05
Generation # 36  Max Fitness: 9.0711175616836e-05
Generation # 37  Max Fitness: 9.0711175616836e-05
Generation # 38  Max Fitness: 9.0711175616836e-05
Generation # 39  Max Fitness: 9.0711175616836e-05
Generation # 40  Max Fitness: 9.63855421686747e-05
New Best Fitness
Generation # 41  Max Fitness: 9.63855421686747e-05
Generation # 42  Max Fitness: 9.63855421686747e-05
Generation # 43  Max Fitness: 9.63855421686747e-05
Generation # 44  Max Fitness: 9.63855421686747e-05
Generation # 45  Max Fitness: 9.63855421686747e-05
Generation # 46  Max Fitness: 9.63855421686747e-05
Generation # 47  Max Fitness: 9.63855421686747e-05
Generation # 48  Max Fitness: 9.63855421686747e-05
Generation # 49  Max Fitness: 9.63855421686747e-05
Accuracy:  100.0 %
Replaced  0.0  with  9.63855421686747e-05
32 <= node_count < 354
Population: 1  Node Count: 96
1.8872142423886486e-36 1.8872142423886486e-36
Generation # 0  Max Fitness: 0.0006064281382656155
New Best Fitness
Generation # 1  Max Fitness: 0.0006064281382656155
Generation # 2  Max Fitness: 0.0006064281382656155
Generation # 3  Max Fitness: 0.0008410428931875525
New Best Fitness
Generation # 4  Max Fitness: 0.0008410428931875525
Generation # 5  Max Fitness: 0.0018722446535610422
New Best Fitness
Generation # 6  Max Fitness: 0.0018722446535610422
Generation # 7  Max Fitness: 0.0018722446535610422
Generation # 8  Max Fitness: 0.0018722446535610422
Generation # 9  Max Fitness: 0.0018722446535610422
Generation # 10  Max Fitness: 0.0018722446535610422
Generation # 11  Max Fitness: 0.0018722446535610422
Generation # 12  Max Fitness: 0.0018722446535610422
Generation # 13  Max Fitness: 0.0018722446535610422
Generation # 14  Max Fitness: 0.0018722446535610422
Generation # 15  Max Fitness: 0.0018722446535610422
Generation # 16  Max Fitness: 0.0018722446535610422
Generation # 17  Max Fitness: 0.0018722446535610422
Generation # 18  Max Fitness: 0.0018722446535610422
